metric,estimate,ci_2.5_percent,ci_97.5_percent
Accuracy,0.8269230769230769,0.7980769230769231,0.8573717948717948
Sensitivity,0.9769230769230769,0.9614371041263615,0.9899497487437185
Specificity,0.5769230769230769,0.5129282714412026,0.6393490278307282
Precision,0.79375,0.7576359316176017,0.8319502074688797
F1 score,0.8758620689655172,0.8521939953810623,0.8993598495155394
Balanced accuracy,0.7769230769230768,0.7442848900065823,0.8091598659619564
ROC-AUC,0.9102016217400833,0.8852864595927605,0.9333496600214647
Average precision,0.936829444155043,0.9144045376803861,0.956714229500086
